1,"wild things is a suspenseful thriller starring matt dillon , denise richards , and neve campbell that deals with all the issues ; sex , love , murder , and betrayal  
the setting of the film is a town named blue bay  
it consists of many swamps and slums and , on the other hand , rich estates owned by the town's different benefactors  
the film opens just before the beginning of a senior seminar at the town's ritzy , expensive high school "
1,"i swear i have seen the edge before  
in fact , it reminded me of the bear , the river wild , and other various films mixed into an entirely different film  
however , the edge has done something that most action films should do , and that is add heart and characters we like to the plot  
in doing so , the edge draws many more suspenseful moments out of cliched scenes than , say , the peacemaker "
1,"sometimes i find 19th century british costume dramas a little hard to relate to  
it's not the time or the distance , it's the rules and conventions of a social class that deserves resentment rather than sympathy  
yet somehow , the movies are all well made and i always get caught up in the story  
the wings of the dove fits the pattern "
1,"i know what i would do with $4  4 million if i found it in a previously undiscovered airplane crash site , especially if i were with jacob and lou  
 ( huh ? ) 
well , in any event , that is the situation hank ( paxton ) finds himself in  
he and his dim-witted brother jacob ( thorton ) and tubby friend lou ( brent briscoe ) come upon a large bag of cash inside a plane wreck "
1,"many people will not find much to like in what dreams may come , the new film by visionary director vincent ward  
most will come to see the computer animated landscapes and vibrant colors  
but little do they know ( as i so plainly found out ) that this has quite a complex story to tell  
walking out of the theater , i could see the audience's disgust "
1,"i want to correct what i wrote last year in my retrospective of david lean's war picture  
i still think that "" the bridge on the river kwai "" doesn't deserve being the number 13 in the american film institute's list of the 100 greatest american movies  
and i think that "" 12 angry men "" , "" witness for the prosecution "" and "" paths of glory "" would have been better choices for the oscar for the best picture of 1957  
but i can't deny the importance of "" the bridge on the river kwai "" - cinematically and in its contents "
1,"warning : anyone offended by blatant , leering machismo had better avoid this film  
or lots of blood & guts , men against men and mano-et-mano stuff  
in other words , it's a walter hill film ! 
with a john milius script ! 
i always picture these guys getting together and producing a movie between arm-wrestling matches  
these films always contain male characters i have a very hard time identifying with , probably due to the likelihood that any meeting between them and me would result in my arm being ripped off and then my subsequent death by beating with said limb "
1,"uncompromising french director robert bresson's "" lancelot of the lake "" achieves the exact opposite effect of sir thomas malory's "" morte darthur  "" 
instead of enshrining the legend of king arthur and his knights of the round table , it dethrones them by revealing arthur as a weak , ineffectual leader and the knights as a group of jealous , bickering men who failed to live up to the legends prescribed to them  
chivalry has no place in "" lancelot of the lake , "" except as that of a dying ideal  
bresson begins his tale as the knights of the round table are returning , decimated , after failing merlin's command to retrieve the holy grail , the mystical cup that was filled with christ's blood "
1,"bob the happy bastard's quickie review : 
the mummy 
brendan fraser's stuck in the past again , but at least this time he has something better to do than to quote sitcom lines and try to woo alicia silverstone    
fraser is the lead star of the mummy , the second directorial effort from action director stephen sommers ( who also brought us the decent thrill ride that was deep rising ) "
1,"in one of my many videos i have attained from the local library , casablanca was my third classic in some weeks  
the others being citizen kane and vertigo ( yes , i am trying to see as many of afi's greatest movies ever made as i can )  
but , casablanca stood out from the rest for me : it was actually watchable  
what most hail as the greatest american film ever , casablanca isn't so much a love story as a political frenzy with a love triangle thrown in "
